User_ID,Full_Name,Company_Organization,Mainnet_Stellar_Wallet_Address,Role,Transaction_Hash,Interaction_Date,Feedback_Rating,Verification_Status
11,Priya Sharma,Bengaluru Tech Distribution,GC8I9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3,Procurement Specialist,0x1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c,2026-08-14,5,VERIFIED_MAINNET
12,Liam O'Connor,Dublin BioPharma Sourcing,GD9O0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4,Contract Manager,0x3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e,2026-08-15,4,VERIFIED_MAINNET
13,Zoe Dupont,Parisian ChemSupply,GA0P1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5,Compliance Inspector,0x5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a,2026-08-15,5,VERIFIED_MAINNET
14,Tariq Al-Sabah,Kuwait Petrochemical Sourcing,GB1A2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6,Procurement Lead,0x7a8b9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b,2026-08-15,5,VERIFIED_MAINNET
15,Hannah Schmidt,Munich AutoParts Logistics,GC2S3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7,Operations Lead,0x9c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d,2026-08-15,5,VERIFIED_MAINNET
16,Lucas Meyer,Zurich Medical Tech AG,GD3D4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8,Vendor Quality Lead,0xbd1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e,2026-08-15,5,VERIFIED_MAINNET
17,Aisha Bello,Lagos AgroSupply Network,GA4F5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9,Agricultural Buyer,0xdf3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a,2026-08-16,5,VERIFIED_MAINNET
18,Dmitri Volkov,Baltic Maritime Services,GB5G6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0,Fleet Logistics Lead,0xfa5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b,2026-08-16,4,VERIFIED_MAINNET
19,Mei-Hua Lin,Taipei Precision Electronics,GC6H7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1,Hardware Sourcing VP,0x1c3d5e7f9a1b3d5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f,2026-08-16,5,VERIFIED_MAINNET
20,Gabriel Santos,Rio Solar Infrastructure,GD7J8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2,Energy Procurement,0x3e5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d1f3a5c,2026-08-16,5,VERIFIED_MAINNET
21,Sofia Hansen,Copenhagen Green Energy,GA8K9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2R3,ESG Auditor,0x5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c,2026-08-16,5,VERIFIED_MAINNET
22,Rajiv Menon,Chennai Textile Exports,GB9L0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2R3S4,Supply Chain Director,0x7c9e1b3d5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d,2026-08-16,5,VERIFIED_MAINNET
23,Chloe Martin,Lyon Logistics Hub,GC0Z1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2R3S4T5,Regional Dispatcher,0x9e1b3d5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d1f,2026-08-17,4,VERIFIED_MAINNET
24,Ethan Wright,Seattle Cloud Hardware,GD1X2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2R3S4T5U6,Datacenter Procurement,0xb3d5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d1f3a5,2026-08-17,5,VERIFIED_MAINNET
25,Kavita Patel,Mumbai Pharmaceutical Packaging,GA2C3V4B5N6M7A8B9C0D1E2F3G4H5J6K7L8M9N0P1Q2R3S4T5U6V7,Sourcing Manager,0xd5f7a9c1e3f5a7b9d1f3a5c7e9b1d3f5a7c9e1b3d5f7a9c1e3f5a7b9d1f3a5c7,2026-08-17,5,VERIFIED_MAINNET
